"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global"
"World";"WOR";"Friendly International";"08-06-2026 07:00";"CANCELLED";"Uganda";"";"";"Madagascar";"";"";"";"";"";"";"43";"57";"10";"10";"1";"2";"49";"42";"20.9";"10.6";"7.3";"12.8";"11.1";"7.6";"2";"2.7";"1.3";"2.7";"4.4";"3";"1.9";"2.4";"1.3";"2.6";"4.1";"2.8";"0.1";"0.3";"0";"0.1";"0.2";"0.1";"82";"52";"46";"78";"54";"48";"18";"22"
"World";"WOR";"Friendly International";"08-06-2026 08:30";"FT";"Sri Lanka";"4";"1";"Bhutan";"1";"0";"1.31";"8.84";"";"";"57";"23";"10";"10";"1";"2";"49";"40";"18.4";"7.4";"8.3";"6.4";"14.6";"7.2";"1.4";"1.7";"2";"1";"3";"3";"1.3";"1.6";"1.9";"1";"2.9";"2.8";"0.1";"0.1";"0.1";"0";"0.2";"0.1";"56";"38";"22";"89";"78";"62";"44";"11"
"World";"WOR";"Friendly International";"08-06-2026 15:45";"FT";"Netherlands";"2";"1";"Uzbekistan";"1";"0";"1.45";"11.38";"";"";"70";"60";"10";"10";"1";"2";"61";"49";"21.2";"15.4";"10";"7.7";"9.4";"7.6";"0.5";"0.9";"1.8";"1.2";"2.2";"3";"0.4";"0.8";"1.8";"1";"2";"2.8";"0.1";"0.1";"0";"0.2";"0.2";"0.1";"36";"16";"10";"90";"90";"84";"64";"10"
"World";"WOR";"Friendly International";"08-06-2026 16:00";"FT";"Mauritania";"0";"1";"Niger";"0";"0";"2.54";"2.92";"";"";"33";"43";"10";"10";"1";"2";"56";"44";"18.7";"9.3";"6.5";"9.1";"12.5";"7.2";"1.9";"2.9";"2.6";"1.3";"4.3";"3";"1.9";"2.4";"2.5";"1.3";"4.1";"2.8";"0";"0.4";"0.1";"0";"0.2";"0.1";"88";"60";"40";"81";"60";"40";"12";"19"
"World";"WOR";"Friendly International";"08-06-2026 16:10";"FT";"France";"3";"1";"Northern Ireland";"1";"0";"1.07";"24.67";"1.90";"";"83";"53";"10";"10";"1";"2";"62";"37";"23.6";"18.2";"9.1";"8";"12";"8";"1.6";"2.2";"1.8";"1.9";"3.8";"3";"1.4";"1.9";"1.8";"1.8";"3.4";"2.8";"0.2";"0.3";"0";"0.1";"0.3";"0.1";"65";"45";"35";"80";"65";"55";"35";"20"
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Oman";"";"";"Kuwait";"";"";"";"";"";"";"40";"33";"10";"10";"1";"2";"47";"48";"18.7";"7.4";"7.9";"8.7";"13.4";"7.5";"0.9";"2.3";"1.9";"1.4";"3.2";"3";"0.9";"2";"1.8";"1.4";"3";"2.8";"0";"0.3";"0.1";"0";"0.2";"0.1";"64";"31";"12";"93";"88";"69";"36";"7"
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Mauritania";"";"";"Liberia";"";"";"";"";"";"";"23";"30";"10";"10";"1";"2";"54";"58";"16";"8.6";"5.6";"8.6";"9.4";"5.8";"2.4";"1.6";"2.2";"1.2";"3.7";"3";"2.4";"1.4";"2.2";"1.2";"3.6";"2.8";"0";"0.1";"0";"0";"0";"0.1";"60";"36";"30";"76";"70";"64";"40";"24"
"World";"WOR";"Friendly International";"08-06-2026 23:00";"FT";"Peru";"1";"3";"Spain";"0";"2";"16.94";"1.16";"";"";"23";"73";"10";"10";"1";"2";"44";"68";"23";"8.6";"19.7";"12.3";"5.3";"8.4";"2.5";"1";"1.8";"1.5";"3.4";"3";"2.5";"1";"1.6";"1.4";"3.2";"2.8";"0";"0";"0.2";"0.1";"0.2";"0.1";"60";"60";"40";"80";"60";"40";"40";"20"
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"Vila Nova";"1";"0";"Botafogo SP";"1";"0";"2.10";"3.80";"";"1.90";"63";"23";"10";"10";"3";"16";"58";"52";"22.9";"13.2";"12.5";"8.2";"11.9";"7.2";"2.9";"2.7";"3.4";"3.4";"6.2";"5.6";"2.8";"2.7";"2.9";"3.1";"5.8";"5.2";"0.1";"0";"0.5";"0.3";"0.4";"0.4";"100";"100";"80";"30";"20";"0";"0";"70"
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"América Mineiro";"1";"2";"Atlético GO";"1";"1";"2.40";"3.07";"";"1.83";"27";"40";"10";"10";"20";"14";"55";"44";"26.2";"13.7";"13.2";"13";"12.4";"9";"2.9";"3.2";"3";"2.5";"5.8";"5.6";"2.8";"3";"3";"2.5";"5.6";"5.2";"0.1";"0.2";"0";"0";"0.2";"0.4";"85";"80";"80";"35";"20";"20";"15";"65"
