"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"Friendly International";"08-06-2026 07:00";"CANCELLED";"Uganda";"";"";"Madagascar";"";"";"";"";"";"9";"";"52";"49";"44";"61";"56";"57";"22";"57";"2";"50";"50";"40";"50";"43";"57";"10";"10";"4.6";"4.7";"3.9";"6.9";"10";"2.1";"2.9";"1.7";"2.7";"2.4";"1.7";"2.2";"3.6";"4.7";"5";"9";"78";"65";"58";"50";"44";"73";"68";"73";"56";"43";"56";"43";"44";"57";"56";"57";"0.2";"0.6";"20.9";"10.6";"7.3";"12.8";"11.1"
"World";"WOR";"Friendly International";"08-06-2026 08:30";"FT";"Sri Lanka";"4";"1";"Bhutan";"1";"0";"1.31";"8.84";"";"9";"1";"66";"10";"41";"20";"44";"33";"38";"33";"3";"33";"67";"50";"20";"57";"23";"10";"10";"3.7";"3.3";"5.3";"6.9";"9.6";"1.9";"2.2";"2.6";"3.6";"1.9";"1.1";"2.5";"3.3";"5.2";"4.4";"9";"84";"62";"50";"64";"41";"72";"56";"42";"22";"22";"38";"56";"50";"33";"12";"33";"0";"0.6";"18.4";"7.4";"8.3";"6.4";"14.6"
"World";"WOR";"Friendly International";"08-06-2026 15:45";"FT";"Netherlands";"2";"1";"Uzbekistan";"1";"0";"1.45";"11.38";"";"9";"1";"80";"80";"95";"54";"40";"22";"40";"25";"";"";"";"60";"50";"70";"60";"10";"10";"6.2";"4.6";"2.9";"4.4";"9";"3.3";"2.4";"0.9";"1.8";"2.9";"2.4";"2";"2.9";"4.2";"5.1";"9";"74";"47";"31";"44";"51";"84";"80";"66";"90";"33";"100";"62";"90";"50";"80";"25";"0.9";"0.8";"21.2";"15.4";"10";"7.7";"9.4"
"World";"WOR";"Friendly International";"08-06-2026 16:00";"FT";"Mauritania";"0";"1";"Niger";"0";"0";"2.54";"2.92";"";"9";"5";"66";"63";"20";"31";"25";"62";"43";"50";"3";"33";"33";"20";"30";"33";"43";"10";"10";"3.5";"2.8";"3.5";"6.1";"8";"1.4";"0.5";"2.4";"3.2";"2.6";"2.2";"1.6";"2.9";"3.8";"4.6";"9";"50";"44";"25";"27";"46";"82";"75";"88";"38";"12";"43";"12";"14";"12";"14";"12";"0.6";"0";"18.7";"9.3";"6.5";"9.1";"12.5"
"World";"WOR";"Friendly International";"08-06-2026 16:10";"FT";"France";"3";"1";"Northern Ireland";"1";"0";"1.07";"24.67";"";"8";"3";"77";"74";"82";"34";"50";"60";"40";"40";"";"";"";"80";"50";"83";"53";"10";"10";"6.2";"3.7";"3";"5.2";"9";"3.7";"1.6";"1.5";"2.6";"2.5";"2.1";"1.5";"2.6";"4.7";"4.4";"9";"65";"55";"40";"50";"45";"85";"80";"70";"60";"40";"60";"40";"80";"50";"60";"40";"0.7";"0.5";"23.6";"18.2";"9.1";"8";"12"
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Oman";"";"";"Kuwait";"";"";"";"";"";"9";"";"66";"38";"34";"51";"56";"44";"44";"50";"10";"70";"0";"30";"20";"40";"33";"10";"10";"2.6";"2.6";"5.6";"6.6";"8.6";"1.2";"1.3";"3";"3.2";"1.3";"2";"2.6";"3.7";"4.4";"4.8";"9";"44";"38";"38";"53";"56";"67";"67";"67";"0";"11";"33";"17";"11";"17";"0";"17";"0.2";"0.5";"18.7";"7.4";"7.9";"8.7";"13.4"
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Mauritania";"";"";"Liberia";"";"";"";"";"";"8";"";"63";"52";"17";"34";"25";"44";"57";"44";"3";"67";"33";"10";"20";"23";"30";"10";"10";"3.6";"3.4";"3.6";"3.8";"7.2";"1.7";"1.7";"2.3";"1.4";"2.4";"1.9";"1.9";"2.2";"3.6";"4.2";"9";"29";"24";"17";"20";"32";"83";"83";"94";"38";"44";"57";"11";"14";"67";"14";"33";"0.6";"0.2";"16";"8.6";"5.6";"8.6";"9.4"
"World";"WOR";"Friendly International";"08-06-2026 23:00";"FT";"Peru";"1";"3";"Spain";"0";"2";"16.94";"1.16";"";"9";"4";"56";"88";"24";"92";"40";"30";"40";"50";"";"";"";"10";"60";"23";"73";"10";"10";"3.6";"6.8";"5.5";"2.3";"9.1";"1.8";"3.7";"2.5";"0.8";"1.8";"3.1";"3";"1.4";"4.4";"4.6";"9";"65";"50";"45";"45";"50";"75";"65";"70";"20";"90";"30";"80";"30";"90";"10";"80";"0.1";"0.8";"23";"8.6";"19.7";"12.3";"5.3"
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"Vila Nova";"1";"0";"Botafogo SP";"1";"0";"2.10";"3.80";"1.17";"10";"5";"74";"66";"48";"24";"40";"50";"40";"30";"8";"50";"38";"50";"10";"63";"23";"10";"10";"5.3";"6.8";"3";"5.7";"10.4";"2.7";"2.4";"2.1";"2.7";"2.6";"4.4";"0.9";"3";"4.9";"5.4";"10.3";"80";"70";"50";"55";"60";"70";"65";"55";"80";"60";"70";"60";"50";"30";"50";"60";"0.6";"0.5";"22.9";"13.2";"12.5";"8.2";"11.9"
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"América Mineiro";"1";"2";"Atlético GO";"1";"1";"2.40";"3.07";"1.19";"10";"5";"42";"80";"31";"24";"50";"60";"50";"50";"10";"30";"20";"20";"20";"27";"40";"10";"10";"5.7";"5";"3.3";"4.8";"9.4";"2.8";"2.5";"1.7";"1.7";"2.9";"2.5";"1.6";"3.1";"4.4";"5";"10.3";"60";"55";"55";"45";"50";"70";"55";"70";"60";"60";"60";"50";"80";"60";"60";"50";"1";"0.4";"26.2";"13.7";"13.2";"13";"12.4"
