"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"World";"WOR";"Friendly International";"08-06-2026 07:00";"CANCELLED";"Uganda";"";"";"Madagascar";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"33";"";"33";"";"";"";"44";"";"33";"";"3";"";"2";"";"2.3";"";"";"1.3";"";"1";"";"";"";"";"";"";"";"33";"";"";"";"";"100";"";"67";""
"World";"WOR";"Friendly International";"08-06-2026 08:30";"FT";"Sri Lanka";"4";"1";"Bhutan";"1";"0";"";"1.31";"8.84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 15:45";"FT";"Netherlands";"2";"1";"Uzbekistan";"1";"0";"";"1.45";"11.38";"";"1.3";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"33";"";"0";"";"33";"";"67";"";"";"";"44";"";"33";"";"3";"";"1";"";"1";"";"";"0.7";"";"0.7";"";"";"";"";"";"";"";"33";"";"";"";"";"100";"";"67";"";""
"World";"WOR";"Friendly International";"08-06-2026 16:00";"FT";"Mauritania";"0";"1";"Niger";"0";"0";"";"2.54";"2.92";"";"";"1";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"50";"";"50";"";"50";"";"50";"";"";"";"33";"";"0";"";"2";"";"0.5";"";"0.5";"";"";"0";"";"0.5";"";"";"";"";"";"";"";"0";"";"";"";"";"50";"";"50";""
"World";"WOR";"Friendly International";"08-06-2026 16:10";"FT";"France";"3";"1";"Northern Ireland";"1";"0";"";"1.07";"24.67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Oman";"";"";"Kuwait";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Mauritania";"";"";"Liberia";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"0";"";"0";"";"100";"";"100";"";"";"";"0";"";"0";"";"2";"";"0";"";"1";"";"";"0";"";"0";"";"";"";"";"";"";"";"0";"";"";"";"";"100";"";"0";""
"World";"WOR";"Friendly International";"08-06-2026 23:00";"FT";"Peru";"1";"3";"Spain";"0";"2";"";"16.94";"1.16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"Vila Nova";"1";"0";"Botafogo SP";"1";"0";"1.46";"2.10";"3.80";"56";"2.2";"0.8";"2";"61";"17";"70";"77";"5";"0.5";"0.5";"5.2";"17.4";"53";"31";"40";"33";"20";"17";"0";"67";"60";"33";"";"";"73";"28";"60";"17";"5";"6";"1.8";"0.5";"1";"0.8";"2";"0.6";"0.2";"0.6";"0.2";"0.8";"2.2";"92";"66";"38";"48";"80";"17";"90";"72";"100";"80";"83";"100";"33";""
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"América Mineiro";"1";"2";"Atlético GO";"1";"1";"1.45";"2.40";"3.07";"60";"0.2";"1";"2";"20";"27";"42";"70";"5";"0.5";"0.3";"15";"8.8";"42";"34";"60";"20";"20";"20";"40";"20";"80";"60";"";"";"7";"33";"0";"20";"5";"5";"0.6";"0.8";"1.8";"1";"2.1";"0.6";"0.6";"0.4";"0.4";"1";"2.2";"90";"70";"50";"70";"0";"0";"100";"70";"100";"80";"80";"60";"80";""
