"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"World";"WOR";"Friendly International";"08-06-2026 07:00";"CANCELLED";"Uganda";"";"";"Madagascar";"";"";"";"";"";"";"";"";"33";"";"";"";"0";"";"100";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 08:30";"FT";"Sri Lanka";"4";"1";"Bhutan";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 15:45";"FT";"Netherlands";"2";"1";"Uzbekistan";"1";"0";"";"";"";"";"";"0";"";"";"";"33";"";"67";"";"0.3";"";"";"10.7";"";"9";"";"";"4";"";"2.3";"";"1";"";"2";"";"";"3";"";"4";"";""
"World";"WOR";"Friendly International";"08-06-2026 16:00";"FT";"Mauritania";"0";"1";"Niger";"0";"0";"";"";"";"";"";"";"0";"";"";"";"0";"";"50";"";"0";"";"";"8";"";"10";"";"";"4";"";"3.5";"";"2";"";"0";"";"";"7";"";"0.5";""
"World";"WOR";"Friendly International";"08-06-2026 16:10";"FT";"France";"3";"1";"Northern Ireland";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Oman";"";"";"Kuwait";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"08-06-2026 21:00";"CANCELLED";"Mauritania";"";"";"Liberia";"";"";"";"";"";"";"";"";"0";"";"";"";"0";"";"100";"";"0";"";"";"6";"";"11.5";"";"";"0";"";"4";"";"1.5";"";"0";"";"";"7.5";"";"3";""
"World";"WOR";"Friendly International";"08-06-2026 23:00";"FT";"Peru";"1";"3";"Spain";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"Vila Nova";"1";"0";"Botafogo SP";"1";"0";"";"";"";"10";"0";"0";"0";"62";"100";"60";"0";"40";"83";"0";"0";"23.4";"14.2";"12.8";"7";"12.7";"7.4";"5";"2.7";"4";"3.2";"2";"1.8";"3.2";"1.3";"4.2";"3.4";"7";"8.8";"5.2";"12.2"
"Brazil";"BRA";"Serie B";"08-06-2026 20:00";"FT";"América Mineiro";"1";"2";"Atlético GO";"1";"1";"";"";"";"0";"0";"0";"0";"50";"100";"60";"40";"20";"60";"0.4";"0";"27.2";"12.6";"10.4";"13";"18.4";"8.6";"3.8";"2.4";"5";"6";"2";"2.6";"1.8";"1";"3.7";"5.8";"8.6";"6.6";"5.6";"13.3"
"Morocco";"MAR";"Botola Pro";"08-06-2026 13:00";"FT";"FUS Rabat";"0";"0";"Difaâ El Jadida";"0";"0";"";"";"";"5";"5";"10";"0";"65";"95";"60";"50";"40";"40";"0.1";"0";"19.8";"12";"6.8";"9.7";"11";"8.5";"5.1";"2.7";"5.1";"4.1";"2.3";"2.3";"2.3";"0.8";"3.9";"3.9";"5.4";"5.3";"2.7";"8.6"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"RSB Berkane";"1";"0";"Ittihad Tanger";"1";"0";"";"";"";"10";"5";"10";"0";"65";"95";"70";"30";"30";"70";"0";"0";"21.9";"14.2";"10.6";"8.2";"10.8";"8.9";"5.7";"4.2";"3.1";"4.7";"0.9";"2.1";"3";"1.4";"3.7";"2.7";"4.5";"6.1";"3.5";"8.4"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"Wydad Casablanca";"1";"0";"Olympic Safi";"0";"0";"";"";"";"20";"5";"20";"10";"60";"95";"80";"20";"10";"80";"0.2";"0.1";"19.1";"11.7";"6.5";"10";"10";"8.6";"5.8";"3";"3.1";"5.2";"1.1";"2.6";"2.9";"1.1";"3.8";"4.3";"4.7";"5.7";"2.4";"8.6"
