"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"World";"WOR";"World Cup";"11-06-2026 16:00";"FT";"Mexico";"2";"0";"South Africa";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"11-06-2026 23:00";"FT";"Korea Republic";"2";"1";"Czech Republic";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"11-06-2026 01:00";"CANCELLED";"Austria";"";"";"Guatemala";"";"";"";"";"";"42";"29";"33";"0";"46";"71";"100";"0";"0";"100";"0.3";"0";"20.2";"7.7";"5";"9";"18.8";"6.9";"3";"2.5";"1.3";"7";"0.7";"3.3";"0.7";"1.7";"3.2";"4.3";"10.3";"2";"3.3";"10"
"Finland";"FIN";"Ykkönen";"11-06-2026 12:30";"FT";"Tampere United";"3";"0";"OLS";"2";"0";"";"";"";"55";"8";"40";"33";"45";"92";"60";"50";"20";"50";"0.2";"0.2";"25.9";"14.4";"13.6";"10.8";"13";"11.8";"7";"7.4";"5";"4.2";"3.6";"1.4";"2.4";"3.6";"5.5";"6.4";"3.6";"6.2";"6.4";"11.3"
"Asia";"AFC";"Aff Championship U19";"11-06-2026 06:00";"FT";"Thailand U19";"4";"0";"Cambodia U19";"2";"0";"";"";"";"";"";"100";"";"";"";"50";"";"50";"";"0.5";"";"";"14.5";"";"4.5";"";"";"5";"";"2";"";"1";"";"4";"";"";"2";"";"9";"";""
"Asia";"AFC";"Aff Championship U19";"11-06-2026 10:15";"FT";"Indonesia U19";"0";"1";"Australia U19";"0";"0";"";"";"";"";"";"50";"";"";"";"100";"";"0";"";"0";"";"";"10.5";"";"8";"";"";"4.5";"";"4.5";"";"0.5";"";"2";"";"";"2";"";"5.5";"";""
"Austria";"AUT";"Landesliga: Tirol";"11-06-2026 15:00";"FT";"Kematen";"2";"3";"Silz / Mötz";"0";"3";"";"";"";"50";"50";"40";"20";"25";"50";"25";"0";"75";"67";"0.2";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Austria";"AUT";"Landesliga: Salzburg";"11-06-2026 15:00";"FT";"Hallwang";"2";"5";"Straßwalchen";"0";"2";"";"";"";"75";"60";"20";"60";"10";"40";"14";"20";"86";"80";"0.1";"0.2";"";"4";"";"10";"";"";"2.3";"";"5.3";"";"3.3";"";"1";"";"";"6";"";"1.7";"";""
"Brazil";"BRA";"Baiano 2";"11-06-2026 15:00";"FT";"SSA";"8";"0";"Camaçari U20";"5";"0";"";"";"";"34";"34";"33";"0";"50";"66";"";"0";"";"100";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Brasileiro U20";"11-06-2026 15:00";"FT";"Vasco da Gama U20";"2";"1";"Cuiabá U20";"2";"0";"";"";"";"36";"14";"57";"0";"50";"86";"71";"0";"29";"86";"0.4";"0";"20.6";"15.1";"5.6";"8.6";"12";"8.2";"7.1";"2.1";"3";"4.3";"1.1";"2";"2.3";"1.7";"3.6";"3.9";"4.9";"5";"3.1";"8.4"
"Brazil";"BRA";"Brasileiro U20";"11-06-2026 15:00";"FT";"Cruzeiro U20";"3";"2";"Fortaleza U20";"1";"0";"";"";"";"36";"22";"57";"0";"43";"78";"57";"43";"29";"57";"0.3";"0.1";"22";"16";"5.6";"9";"13.3";"8.3";"6.4";"2.9";"3.3";"4";"1.6";"1.9";"3.3";"1.3";"4";"4.3";"6.1";"8.4";"2.3";"10.6"
"Brazil";"BRA";"Brasileiro U20";"11-06-2026 15:00";"FT";"Sao Paulo U20";"0";"2";"Bragantino U20";"0";"1";"";"";"";"43";"22";"14";"29";"43";"78";"43";"67";"57";"17";"0.4";"0.7";"24.6";"10.7";"15.7";"12.3";"10.5";"10";"3.9";"7.5";"5.1";"3.5";"2.4";"1.8";"2";"3.8";"5.1";"6.3";"4.8";"4.9";"8.5";"12.2"
"Brazil";"BRA";"Brasileiro U20";"11-06-2026 19:00";"FT";"Palmeiras U20";"2";"2";"Santos U20";"1";"1";"";"";"";"42";"22";"57";"0";"36";"78";"57";"43";"43";"43";"0.3";"0";"24.2";"18";"12.3";"8.2";"10";"8.7";"5.8";"4.6";"3.8";"3.1";"2.2";"1.3";"2.6";"1.9";"4";"4.8";"3.7";"9.6";"5.9";"12"
"Brazil";"BRA";"Paulista U20";"11-06-2026 15:00";"FT";"Portuguesa U20";"3";"0";"Itapirense U20";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Paulista U20";"11-06-2026 15:00";"FT";"Novorizontino U20";"1";"3";"Ibrachina U20";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Paulista U20";"11-06-2026 19:00";"FT";"Oeste U20";"4";"3";"Santo André U20";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Copa Gaúcha";"11-06-2026 15:00";"FT";"Gramadense";"1";"0";"Monsoon";"1";"0";"";"";"";"50";"0";"0";"0";"25";"100";"100";"50";"0";"0";"0.5";"0.5";"22.2";"10";"11";"10";"13.5";"8.2";"5.5";"2.5";"4";"4.5";"1";"1";"3";"1.5";"3.2";"3.5";"5";"6";"6.5";"10.5"
"Brazil";"BRA";"Amazonense U20";"11-06-2026 15:58";"FT";"Inter Academy U20";"1";"4";"Manauara U20";"0";"2";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Maranhense 2";"11-06-2026 15:30";"FT";"Expressinho";"2";"3";"São Luís";"0";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canada";"CAN";"PCSL";"11-06-2026 00:00";"AWAITING_UPDATES";"Mid Isle Highlanders";"";"";"WIA";"";"";"";"";"";"34";"16";"0";"0";"42";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canada";"CAN";"PCSL";"11-06-2026 01:00";"AWAITING_UPDATES";"AFA";"";"";"Khalsa";"";"";"";"";"";"50";"34";"33";"0";"25";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"11-06-2026 09:30";"FT";"Union Douala";"2";"0";"Ngok Etunja";"1";"0";"";"";"";"36";"7";"0";"0";"50";"93";"67";"0";"0";"67";"0.3";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"11-06-2026 09:30";"FT";"Bafmeng United";"1";"1";"Yafoot";"0";"0";"";"";"";"14";"0";"29";"0";"50";"100";"";"33";"";"0";"";"0.3";"";"";"3";"";"5.5";"";"";"1";"";"0.5";"";"0.5";"";"0.5";"";"";"3";"";"1.5";""
"Cameroon";"CMR";"Elite Two";"11-06-2026 11:30";"FT";"Tonnerre";"0";"3";"Bamboutos";"0";"2";"";"";"";"7";"7";"29";"14";"71";"93";"50";"33";"0";"0";"0";"0.3";"";"";"7.5";"";"9";"";"";"1.5";"";"4";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"11-06-2026 11:30";"FT";"FAP";"1";"1";"Sable Batie";"1";"1";"";"";"";"11";"11";"11";"0";"53";"89";"33";"0";"33";"33";"0.2";"0";"";"10";"";"7.3";"";"";"1.7";"";"3";"";"0.5";"";"0.5";"";"";"1.5";"";"3";"";""
"DR Congo";"COD";"Super Ligue";"11-06-2026 10:00";"FT";"TP Mazembe";"2";"0";"Les Aigles du congo";"1";"0";"";"";"";"25";"10";"60";"10";"60";"90";"100";"33";"0";"50";"0.4";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DR Congo";"COD";"Super Ligue";"11-06-2026 10:00";"FT";"Saint Eloi Lupopo";"0";"0";"Don Bosco";"0";"0";"";"";"";"15";"15";"10";"10";"70";"85";"60";"50";"0";"40";"0.2";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Czech Republic";"CZE";"3. Liga MSFL";"11-06-2026 12:30";"FT";"Vítkovice";"5";"1";"Slovácko II";"1";"1";"";"";"";"35";"5";"20";"20";"45";"95";"56";"30";"44";"70";"0.3";"0.2";"19.7";"9.9";"9.3";"8.9";"11.3";"8.6";"4";"4.5";"3.7";"5.1";"2.7";"2.6";"2";"2.3";"4.8";"5.3";"4.9";"4.1";"4.4";"9.4"
"Czech Republic";"CZE";"U19 League";"11-06-2026 07:00";"FT";"Jihlava U19";"0";"2";"Karvina U19";"0";"0";"";"";"";"50";"35";"20";"30";"35";"65";"50";"50";"50";"50";"0.5";"0.1";"21.4";"8.4";"10.7";"10.8";"13";"9.9";"3.8";"4.6";"5.8";"5.6";"2.3";"2.2";"1.8";"1.7";"4";"4.5";"5.3";"3.9";"4.7";"9.2"
