"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"World";"WOR";"World Cup";"15-06-2026 13:00";"NS";"Spain";"";"";"Cape Verde Islands";"";"";"1.08";"1.09";"24.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 16:00";"NS";"Belgium";"";"";"Egypt";"";"";"1.29";"1.62";"5.59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 19:00";"NS";"Saudi Arabia";"";"";"Uruguay";"";"";"1.31";"8.05";"1.43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 22:00";"NS";"Iran";"";"";"New Zealand";"";"";"1.44";"1.84";"4.67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"15-06-2026 21:00";"NS";"Criciúma";"";"";"Ceará";"";"";"";"";"";"50";"2.2";"1";"2";"48";"27";"84";"70";"";"0.6";"0.3";"9.3";"9.5";"35";"37";"80";"40";"40";"40";"0";"40";"60";"80";"";"";"73";"33";"60";"20";"5";"5";"1.4";"0.8";"0.6";"1";"1.9";"0.6";"0.2";"0.2";"0.2";"0.6";"2.2";"90";"70";"20";"40";"20";"20";"90";"80";"100";"60";"60";"100";"60";""
"Brazil";"BRA";"Serie B";"15-06-2026 21:00";"NS";"Londrina";"";"";"Avaí";"";"";"";"2.30";"3.30";"60";"0.4";"0.8";"2";"27";"34";"49";"49";"5";"0.4";"0.4";"10.2";"7.8";"41";"41";"40";"60";"20";"20";"40";"20";"60";"60";"";"";"13";"27";"0";"20";"5";"5";"0.8";"1";"1.6";"1.6";"2.5";"0.4";"0.2";"0.6";"1.2";"1.2";"2.2";"90";"70";"60";"70";"20";"20";"70";"50";"100";"80";"80";"60";"80";""
"Bolivia";"BOL";"Liga De Futbol Prof";"15-06-2026 20:00";"NS";"Club Bolívar";"";"";"Guabirá";"";"";"1.04";"1.17";"10.98";"68";"1.8";"0.8";"4";"100";"41";"63";"0";"3";"0.7";"0.4";"6.9";"8.7";"58";"46";"100";"60";"25";"0";"0";"40";"50";"40";"";"";"58";"27";"50";"20";"4";"5";"3.2";"1.2";"1.2";"3";"4.4";"1.5";"0.4";"0.5";"1.2";"1.8";"3";"100";"100";"88";"90";"50";"60";"45";"32";"78";"75";"100";"100";"60";""
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Vera Cruz RJ";"";"";"CAAC Brasil";"";"";"";"";"";"50";"1";"0.3";"2";"34";"24";"35";"46";"";"1";"0.2";"14";"6.4";"18";"44";"0";"0";"33";"0";"33";"33";"33";"33";"";"";"33";"11";"33";"0";"3";"3";"1";"0.7";"2";"1.7";"2.6";"0";"0";"1";"0.5";"0.5";"2.6";"100";"66";"33";"75";"33";"0";"84";"100";"100";"67";"100";"67";"67";""
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Mageense";"";"";"Céres";"";"";"";"";"";"42";"1.5";"2";"3";"34";"58";"18";"60";"";"0.7";"0.4";"11.5";"7.6";"26";"58";"50";"0";"0";"33";"50";"33";"50";"33";"";"";"50";"67";"50";"67";"2";"3";"1";"1.7";"2.5";"1.3";"3.2";"1";"1";"0.5";"1";"1.8";"2.6";"100";"100";"66";"75";"50";"67";"58";"25";"75";"100";"67";"50";"67";""
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Tigres do Brasil";"";"";"União Central";"";"";"";"";"";"33";"2.3";"0";"3";"58";"10";"80";"35";"";"0.6";"0.6";"7.1";"33.3";"25";"35";"50";"50";"67";"0";"33";"67";"33";"67";"";"";"78";"0";"67";"0";"3";"3";"1.7";"0.3";"0.7";"2";"2.3";"2";"0.5";"0";"1";"1.2";"2.6";"84";"67";"50";"75";"67";"0";"84";"50";"50";"33";"100";"67";"33";""
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Campos AA";"";"";"Uni Souza";"";"";"";"";"";"84";"2.3";"0";"3";"44";"51";"80";"18";"";"0.4";"";"";"";"";"";"50";"";"33";"0";"0";"0";"67";"50";"";"";"78";"0";"67";"0";"3";"2";"1.3";"1.5";"0.7";"2.5";"3";"0.5";"0";"0.5";"2.5";"1.6";"2.6";"100";"84";"66";"75";"33";"50";"75";"25";"75";"67";"100";"100";"100";""
