"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global"
"World";"WOR";"World Cup";"17-06-2026 01:00";"NS";"Austria";"";"";"Jordan";"";"";"1.33";"8.97";"1.41";"";"83";"60";"10";"10";"";"";"63";"36";"22";"11.4";"11.1";"9.2";"12.4";"8";"1.7";"1";"1.7";"1.6";"3";"";"1.5";"0.9";"1.7";"1.3";"2.7";"";"0.2";"0.1";"0";"0.3";"0.3";"";"60";"45";"10";"90";"90";"55";"40";"10"
"World";"WOR";"World Cup";"17-06-2026 14:00";"NS";"Portugal";"";"";"Congo DR";"";"";"1.28";"10.52";"1.33";"";"77";"57";"10";"10";"";"";"68";"48";"25";"20";"13.1";"8.4";"8.5";"8.1";"1.4";"0.9";"1.8";"1.5";"2.8";"";"1.2";"0.9";"1.7";"1.5";"2.6";"";"0.2";"0";"0.1";"0";"0.2";"";"44";"39";"22";"84";"78";"61";"56";"16"
"World";"WOR";"World Cup";"17-06-2026 17:00";"NS";"England";"";"";"Croatia";"";"";"1.71";"4.94";"1.38";"";"83";"73";"10";"10";"";"";"70";"60";"25";"19.2";"17.6";"5.2";"8.1";"8.2";"0.8";"1.3";"1.8";"1.3";"2.6";"";"0.8";"1.3";"1.7";"1.2";"2.5";"";"0";"0";"0.1";"0.1";"0.1";"";"60";"30";"5";"100";"95";"70";"40";"0"
"World";"WOR";"World Cup";"17-06-2026 20:00";"NS";"Ghana";"";"";"Panama";"";"";"2.15";"3.44";"1.42";"";"37";"53";"10";"10";"";"";"46";"46";"19.8";"7.8";"11";"9.7";"11.2";"7.6";"1.5";"1.6";"0.7";"1.1";"2.4";"";"1.5";"1.6";"0.7";"1.1";"2.4";"";"0";"0";"0";"0";"0";"";"40";"15";"5";"95";"95";"85";"60";"5"
"World";"WOR";"World Cup";"17-06-2026 23:00";"NS";"Uzbekistan";"";"";"Colombia";"";"";"8.49";"1.38";"1.45";"";"50";"73";"10";"10";"";"";"47";"60";"20.5";"8.8";"12.5";"10.4";"9.3";"8.2";"1";"0.7";"1.1";"2";"2.4";"";"0.9";"0.7";"0.9";"1.9";"2.2";"";"0.1";"0";"0.2";"0.1";"0.2";"";"46";"31";"6";"94";"94";"69";"54";"6"
"Sweden";"SWE";"Damallsvenskan";"17-06-2026 14:00";"NS";"Hammarby W";"";"";"AIK W";"";"";"";"";"";"";"63";"70";"10";"10";"2";"3";"54";"49";"19.3";"10.2";"13.2";"8.3";"6.9";"9";"1.1";"0.8";"1.2";"1.8";"2.4";"1.6";"1.1";"0.8";"1.2";"1.8";"2.4";"1.6";"0";"0";"0";"0";"0";"0";"45";"22";"5";"95";"95";"78";"55";"5"
"Sweden";"SWE";"Damallsvenskan";"17-06-2026 14:00";"NS";"Djurgarden W";"";"";"Malmö FF W";"";"";"";"";"";"";"30";"50";"10";"10";"10";"4";"50";"59";"19";"7.8";"12.7";"10.6";"6.9";"8.6";"1.2";"0.8";"0.8";"1";"1.9";"1.6";"1.2";"0.8";"0.8";"1";"1.9";"1.6";"0";"0";"0";"0";"0";"0";"25";"10";"5";"95";"95";"90";"75";"5"
"South Korea";"KOR";"WK-League";"17-06-2026 07:00";"NS";"Gyeongju W";"";"";"Hwacheon KSPO W";"";"";"";"";"";"";"37";"73";"10";"10";"7";"2";"49";"50";"12.2";"8.3";"5.3";"6.7";"4";"4.6";"0.3";"0.5";"3.3";"1.8";"3";"2.9";"0.3";"0.5";"3";"1.8";"2.8";"2.8";"0";"0";"0.3";"0";"0.2";"0.1";"75";"34";"0";"100";"100";"66";"25";"0"
"South Korea";"KOR";"WK-League";"17-06-2026 07:00";"NS";"Changnyeong W";"";"";"Suwon FMC W";"";"";"";"";"";"";"23";"70";"10";"10";"8";"1";"50";"54";"18.2";"6.8";"13.7";"11.2";"4.8";"7.8";"1.5";"1.3";"0.2";"1.5";"2.3";"2.9";"1.5";"1.3";"0.2";"1.5";"2.3";"2.8";"0";"0";"0";"0";"0";"0.1";"58";"8";"8";"100";"92";"92";"42";"0"
"South Korea";"KOR";"WK-League";"17-06-2026 07:00";"NS";"Seoul W";"";"";"Boeun Sangmu W";"";"";"";"";"";"";"40";"53";"10";"10";"6";"4";"51";"49";"";"8.5";"";"10.3";"";"";"0.7";"";"1.8";"";"";"2.9";"0.7";"";"1.8";"";"";"2.8";"0";"";"0";"";"";"0.1";"";"";"";"";"";"";"";""
