"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global"
"World";"WOR";"World Cup";"24-06-2026 16:00";"NS";"Switzerland";"";"";"Canada";"";"";"2.43";"3.17";"70";"100";"68";"51";"5";"57";"67";"1.7";"1.8";"52";"64";"5.5";"6.7";"";"";"";"";"40";"40";"50";"60";"10";"0";"57";"60";"90";"100";"50";"40";"60";"60";"1x1";"0x0";"19.9";"2";"1.5";"1";"0.4";"2.4";"57";"53";"";"";"10";"10";"12.3";"13.4";"8.8";"5.3";"7.2";"3.1";"2";"5";"4.4";"0.6";"2.5";"1.6";"2.1";"3.4";"6"
"World";"WOR";"World Cup";"24-06-2026 16:00";"NS";"Bosnia and Herzegovina";"";"";"Qatar";"";"";"1.43";"6.81";"60";"46";"51";"17";"1";"47";"43";"1.3";"0.6";"52";"36";"6.8";"15.6";"";"";"";"";"20";"10";"70";"30";"10";"60";"43";"20";"90";"40";"30";"70";"80";"90";"1x1";"1x0";"22.8";"1.5";"0.5";"1.3";"1.7";"2.5";"48";"51";"";"";"10";"10";"12.6";"8.9";"10";"14.1";"7.7";"3.3";"4.4";"4.8";"2.9";"2.6";"1.3";"1.5";"1.2";"3.4";"6"
"World";"WOR";"World Cup";"24-06-2026 19:00";"NS";"Scotland";"";"";"Brazil";"";"";"7.75";"1.37";"70";"66";"71";"88";"2";"46";"56";"2.1";"2";"40";"48";"4.6";"4.9";"";"";"";"";"70";"60";"0";"20";"30";"20";"70";"67";"70";"80";"100";"80";"30";"40";"0x1";"1x1";"24.4";"2.1";"2.6";"1";"1.1";"3.4";"46";"55";"";"";"10";"10";"11.4";"13.4";"14.5";"9.6";"8.9";"3.9";"3.3";"4.7";"5.9";"1.3";"1.3";"1.9";"2.1";"3.3";"6"
"World";"WOR";"World Cup";"24-06-2026 19:00";"NS";"Morocco";"";"";"Haiti";"";"";"1.19";"15.73";"100";"66";"58";"41";"3";"57";"48";"2";"1.3";"47";"42";"6.1";"7.8";"";"";"";"";"50";"40";"50";"10";"0";"50";"67";"43";"100";"50";"50";"90";"50";"60";"1x1";"1x0";"20.8";"1.7";"1.2";"0.4";"1.1";"2.2";"53";"50";"";"";"10";"10";"13.8";"10.1";"7.3";"10.3";"7";"2.7";"3.8";"4.1";"3.4";"1.3";"1.9";"2.3";"1.9";"3.8";"6"
"World";"WOR";"World Cup";"24-06-2026 22:00";"NS";"South Africa";"";"";"Korea Republic";"";"";"5.63";"1.61";"63";"63";"34";"44";"2";"62";"57";"1.2";"1.8";"52";"45";"9.3";"7.1";"";"";"";"";"30";"60";"30";"0";"40";"40";"40";"60";"60";"60";"70";"100";"70";"40";"1x1";"1x0";"19";"1";"1.3";"1.2";"1.2";"2.4";"62";"57";"";"";"10";"10";"11.7";"10.8";"8.5";"7.1";"7.1";"2.8";"3.1";"4.2";"4.1";"2.1";"1.6";"1.7";"1";"3.2";"6"
"World";"WOR";"World Cup";"24-06-2026 22:00";"NS";"Czech Republic";"";"";"Mexico";"";"";"3.46";"2.03";"70";"100";"61";"61";"5";"59";"60";"1.6";"2.6";"63";"47";"5.8";"6.3";"";"";"";"";"40";"80";"40";"20";"20";"0";"53";"87";"80";"100";"60";"80";"60";"20";"1x1";"0x1";"20.2";"1.8";"1.8";"1";"0.2";"2.4";"54";"54";"";"";"10";"10";"11.9";"12.2";"10.1";"6.2";"7";"3.8";"1.9";"3.9";"4.5";"0.7";"1.6";"1.8";"1.9";"3";"6"
"Sweden";"SWE";"Damallsvenskan";"24-06-2026 13:00";"NS";"Uppsala W";"";"";"Häcken W";"";"";"";"";"42";"80";"48";"71";"";"42";"54";"0.9";"2.5";"42";"55";"4.9";"5.5";"2";"0";"100";"0";"20";"80";"30";"10";"50";"10";"30";"83";"50";"90";"70";"90";"80";"20";"0x0";"0x2";"19.5";"1.4";"2.1";"1.8";"0.7";"3";"49";"50";"14";"2";"10";"10";"6.8";"11.9";"12.9";"7.5";"9.4";"6.9";"3.2";"3.4";"5.4";"0.8";"0.7";"0.3";"1.4";"1.6";"1.6"
"Sweden";"SWE";"Damallsvenskan";"24-06-2026 13:00";"NS";"Rosengard W";"";"";"Djurgarden W";"";"";"";"";"49";"49";"37";"17";"";"57";"47";"0.6";"0.8";"64";"43";"12.6";"14.2";"10";"60";"20";"20";"10";"20";"30";"20";"60";"60";"20";"27";"40";"40";"70";"80";"90";"80";"1x2";"1x0";"20";"1.1";"0.5";"1.6";"1.6";"2.4";"53";"50";"13";"12";"10";"10";"13.9";"7.1";"9.2";"9.7";"8.7";"3.8";"4.3";"6.7";"2.6";"0.8";"1.2";"0.5";"0.9";"1.7";"1.6"
"Sweden";"SWE";"Damallsvenskan";"24-06-2026 14:00";"NS";"Växjö W";"";"";"Brommapojkarna W";"";"";"";"";"49";"42";"58";"51";"";"48";"44";"1.1";"1.5";"45";"46";"5.5";"6.5";"6";"67";"33";"0";"30";"50";"20";"0";"50";"50";"37";"50";"50";"50";"80";"100";"70";"50";"0x0";"1x2";"21";"1.7";"1.5";"1.6";"1.8";"3.3";"50";"44";"10";"9";"10";"10";"9.4";"9.7";"11.5";"11.6";"9.6";"4.8";"4.9";"4.8";"4.8";"0.8";"0.7";"0.7";"1.1";"1.6";"1.6"
"Sweden";"SWE";"Damallsvenskan";"24-06-2026 14:00";"NS";"Norrköping W";"";"";"Vittsjo W";"";"";"";"";"63";"63";"31";"34";"";"46";"43";"0.8";"1.3";"46";"45";"7.9";"6.9";"7";"43";"29";"29";"10";"40";"50";"10";"40";"50";"27";"43";"60";"50";"50";"90";"90";"60";"1x1";"2x1";"19.5";"0.9";"1";"1.2";"1.2";"2.2";"49";"44";"11";"8";"10";"10";"7.1";"6.9";"13.3";"11.7";"9";"4.8";"6.1";"3.5";"3.6";"1";"1.1";"0.9";"0.6";"1.8";"1.6"
